dir_name,RGB,,LAB,,,,,gamma_ed_RGB
9_11,"[29.200475907198097, 118.32361689470554, 249.04283164782868]",,"[8.53, -1.8, -21.46]",,,,,"[0.012424334753614544, 0.18223183183881533, 0.9476768071652948]"
9_12,"[34.26650803093397, 116.37834622248661, 210.64901844140394]",,"[8.89, -8.15, -17.13]",,,,,"[0.016210167636797994, 0.1758695408278148, 0.6489698356033795]"
9_13,"[30.649018441403925, 107.63593099345627, 224.22248661511006]",,"[8.34, -0.07, -20.42]",,,,,"[0.013447133293224252, 0.14888823756791056, 0.7470774890798049]"
9_14,"[30.906008328375968, 110.60202260559191, 229.58239143367044]",,"[8.52, -0.75, -20.17]",,,,,"[0.013633534449444831, 0.15774913663567508, 0.7880518103583745]"
9_15,"[29.05175490779298, 121.7471743010113, 253.1921475312314]",,"[8.83, -2.65, -21.6]",,,,,"[0.012321988922322342, 0.1937508065288589, 0.9839477585755051]"
9_16,"[27.235574063057705, 118.82212968471148, 250.4538964901844]",,"[8.61, -2.04, -21.64]",,,,,"[0.011111745922259908, 0.18388355225127598, 0.9599223905603358]"
9_17,"[38.35514574657942, 107.43426531826294, 210.11600237953598]",,"[7.85, -0.49, -18.97]",,,,,"[0.019701429995646277, 0.14829661003456826, 0.6452808955172851]"
9_18,"[37.32004759071981, 104.54253420582987, 174.67400356930398]",,"[8.38, -6.77, -14.65]",,,,,"[0.018779940397430347, 0.13996374532822298, 0.426918249798013]"
9_19,"[28.2587745389649, 118.86198691255206, 248.50446162998216]",,"[8.73, -2.56, -21.13]",,,,,"[0.01178459495617966, 0.18401598647900985, 0.9430288492409157]"
9_2,"[33.15883402736466, 113.84473527662107, 210.78405710886378]",,"[8.74, -6.9, -18.04]",,,,,"[0.015332091766406784, 0.16778004340756678, 0.6499063700168379]"
9_20,"[26.4854253420583, 120.69839381320642, 254.5431290898275]",,"[8.76, -1.16, -22.73]",,,,,"[0.010633053311036637, 0.19017827282021751, 0.9959290511967591]"
9_3,"[34.57108863771565, 115.35098155859608, 205.88816180844736]",,"[9.13, -7.49, -17.33]",,,,,"[0.016456626826464663, 0.17256250733141265, 0.6164538911474741]"
9_4,"[34.889946460440214, 117.33789411064842, 208.85841760856633]",,"[9.12, -8.75, -16.99]",,,,,"[0.01671696610351836, 0.17899139922193266, 0.6366258720521693]"
9_5,"[36.35514574657942, 105.40571088637715, 205.92801903628794]",,"[8.28, -1.02, -18.27]",,,,,"[0.017944041738400817, 0.1424216803658158, 0.6167220689344937]"
9_6,"[39.07674003569304, 108.63771564544913, 210.53123140987506]",,"[8.34, -0.73, -18.58]",,,,,"[0.02035910439306677, 0.151847569424965, 0.6481535897632003]"
9_7,"[34.4360499702558, 116.15526472337893, 209.46400951814397]",,"[9.17, -8.18, -17.21]",,,,,"[0.016347089128208175, 0.1751483396411593, 0.6407852018241829]"
9_8,"[34.861392028554434, 117.09101725163593, 206.90600832837598]",,"[8.87, -8.3, -17.43]",,,,,"[0.016693554931453813, 0.17818513105498207, 0.6233237619003711]"
9_9,"[28.465794170136824, 110.31885782272457, 226.62343842950625]",,"[8.31, -2.74, -20.1]",,,,,"[0.011923542382990577, 0.15689029284430134, 0.7652740356324786]"
12_1,"[36.41046995835812, 90.15526472337893, 189.6888756692445]",,"[6.33, -0.35, -18.97]",,,,,"[0.017991370058373958, 0.10260836318856904, 0.5130351614961105]"
12_10,"[33.867935752528254, 83.01665675193337, 176.56573468173707]",,"[5.92, 0.64, -18.44]",,,,,"[0.015890924573118984, 0.0865361062079766, 0.43726221037322216]"
12_11,"[39.26650803093397, 85.91136228435455, 169.87923854848304]",,"[6.33, -1.26, -16.72]",,,,,"[0.020534157452277046, 0.09286117026637378, 0.4013449815919227]"
12_12,"[38.472932778108266, 82.3747769185009, 172.11481261154074]",,"[6.03, 1.07, -17.36]",,,,,"[0.01980792348330704, 0.08516872252759594, 0.41315395789157644]"
12_13,"[39.286734086853066, 81.74657941701368, 166.51338488994645]",,"[6.03, 0.64, -17.52]",,,,,"[0.02055286671592194, 0.08384277094177908, 0.3839410876258732]"
12_14,"[37.696609161213566, 78.69303985722784, 163.48364069006544]",,"[5.79, 1.47, -17.24]",,,,,"[0.0191121933993642, 0.07756965214003257, 0.3686586766330943]"
12_2,"[35.930398572278406, 78.24866151100535, 166.30279595478882]",,"[5.92, 1.17, -17.64]",,,,,"[0.017583101856556888, 0.07668038308655181, 0.38286713003818834]"
12_3,"[36.21177870315289, 79.48899464604402, 169.81261154074954]",,"[5.72, 1.48, -17.33]",,,,,"[0.017821733481593795, 0.07917745277161786, 0.40099610044490797]"
